n12,N,m3456,M,k12,K,nm_class,k_class,mapped_stefan_index
"(1, 1)","(0, 0, 0, 1, 0, 1)","(1, 1, 0, 0)","(0, 1, 0, 0, 1, 0)","(1, 1)","(0, 0, 0, 1, 1, 0)",VI,iii,UNMATCHED
"(1, 1)","(0, 0, 1, 0, 1, 0)","(1, 1, 1, 1)","(0, 1, 0, 0, 1, 0)","(1, 1)","(0, 0, 0, 1, 1, 0)",V,iii,19
"(1, 1)","(0, 0, 0, 1, 1, 0)","(1, 1, 1, 1)","(0, 1, 0, 0, 1, 0)","(1, 0)","(1, 0, 0, 0, 0, 0)",V,ii,9
"(1, 1)","(0, 1, 0, 1, 0, 0)","(1, 1, 1, 1)","(0, 1, 0, 0, 1, 0)","(1, 1)","(1, 0, 0, 1, 0, 0)",V,iii,UNMATCHED
"(1, 1)","(0, 1, 0, 1, 0, 0)","(1, 1, 0, 0)","(1, 0, 0, 0, 1, 0)","(1, 1)","(1, 0, 0, 1, 0, 0)",VI,iii,UNMATCHED
"(1, 1)","(0, 0, 0, 0, 1, 1)","(1, 1, 0, 0)","(1, 1, 0, 0, 0, 0)","(1, 1)","(0, 0, 1, 1, 0, 0)",VI,iii,22
"(1, 1)","(1, 0, 0, 0, 1, 0)","(1, 1, 0, 0)","(0, 0, 1, 1, 0, 0)","(1, 1)","(1, 0, 0, 0, 1, 0)",VI,iii,UNMATCHED
"(1, 0)","(0, 0, 0, 0, 1, 0)","(1, 0, 1, 1)","(0, 0, 0, 1, 0, 0)","(1, 1)","(0, 1, 0, 1, 0, 0)",IV,iii,UNMATCHED
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1)","(0, 0, 1, 0, 1, 0)","(1, 1)","(1, 1, 0, 0, 0, 0)",III,iii,11
"(1, 1)","(1, 1, 0, 0, 0, 0)","(1, 1, 0, 0)","(0, 0, 1, 0, 1, 0)","(1, 1)","(1, 1, 0, 0, 0, 0)",VI,iii,20
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 0)","(0, 1, 0, 0, 0, 0)","(1, 1)","(1, 1, 0, 0, 0, 0)",II,iii,10
"(1, 0)","(0, 0, 1, 0, 0, 0)","(1, 0, 1, 1)","(1, 0, 0, 0, 0, 0)","(1, 1)","(0, 1, 0, 0, 1, 0)",IV,iii,"16,17"
"(1, 0)","(0, 1, 0, 0, 0, 0)","(1, 0, 1, 1)","(0, 0, 0, 1, 0, 0)","(1, 0)","(0, 1, 0, 0, 0, 0)",IV,ii,6
"(1, 1)","(0, 0, 0, 1, 1, 0)","(1, 1, 0, 0)","(0, 0, 0, 1, 1, 0)","(1, 1)","(0, 0, 0, 0, 1, 1)",VI,iii,UNMATCHED
"(1, 1)","(0, 0, 0, 1, 1, 0)","(1, 1, 0, 0)","(0, 0, 1, 0, 0, 1)","(1, 1)","(0, 0, 0, 0, 1, 1)",VI,iii,UNMATCHED
"(1, 0)","(0, 1, 0, 0, 0, 0)","(1, 0, 1, 1)","(1, 0, 0, 0, 0, 0)","(1, 1)","(0, 0, 0, 0, 1, 1)",IV,iii,"12,14"
