n1,n2,N1,N2,N3,N4,N5,N6,K1,K2,K3,K4,K5,K6,k1,k2,m3,m4,m5,m6,PaperLabel,TwistBasis,Unique,ClassRepresentative,EquivalentTo,IsRepresentative,RelabellingToRepresentative,EquivalenceNotes
1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,ii-ii-E.2,b1 + e1`2 ; b`1 + e2`1 ; b2`2 + e35`3`5,yes,ii-ii-E.2,,yes,,unique -- no other configuration in the list is equivalent to it
1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,ii-iii-E.1,b1 + e1`1 ; b`1 + e12`1`2 ; b2`2 + e35`3`5,yes,ii-iii-E.1,,yes,,unique -- no other configuration in the list is equivalent to it
1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,ii-iii-E.2,b1 + e1`1 ; b`1 + e34`1`2 ; b2`2 + e35`3`5,no,ii-iii-E.2,ii-iii-E.3,yes,,class representative; equivalent model(s) in this list: ii-iii-E.3
1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,ii-iii-E.3,b1 + e1`1 ; b`1 + e56`1`2 ; b2`2 + e35`3`5,no,ii-iii-E.2,ii-iii-E.2,no,"left: 3->5, 4->6, 5->3, 6->4 ; y<->w on 1  |  right: identity ; y<->w on 1","= ii-iii-E.2.  E2/E3 permutation -- holomorphic: 3->5, 4->6, 5->3, 6->4 ; y<->w on 1; anti-holomorphic: identity ; y<->w on 1.  E1 change of basis (E = 1+S+Sb) -- B2b2 -> B1 + B2b2 (B1, B1b unchanged)"
1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,ii-ii-E.3,b1 + e1`5 ; b`1 + e5`1 ; b2`2 + e35`3`5,no,ii-ii-B,"ii-ii-B, ii-ii-E.4",no,"left: 3->5, 4->6, 5->3, 6->4 ; y<->w on 1  |  right: 3->5, 4->6, 5->3, 6->4 ; y<->w on 1","= ii-ii-B.  E2/E3 permutation -- holomorphic and anti-holomorphic indices both: 3->5, 4->6, 5->3, 6->4 ; y<->w on 1.  E1 change of basis (E = 1+S+Sb) -- B2b2 -> B1 + B1b + B2b2 (B1, B1b unchanged)"
1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,ii-ii-E.4,b1 + e1`6 ; b`1 + e6`1 ; b2`2 + e35`3`5,no,ii-ii-B,"ii-ii-B, ii-ii-E.3",no,"left: 3->6, 4->5, 5->4, 6->3 ; y<->w on 2  |  right: 3->6, 4->5, 5->4, 6->3 ; y<->w on 2","= ii-ii-B.  E2/E3 permutation -- holomorphic and anti-holomorphic indices both: 3->6, 4->5, 5->4, 6->3 ; y<->w on 2.  E1 change of basis (E = 1+S+Sb) -- B2b2 -> B1 + B1b + B2b2 + E (B1, B1b unchanged)"
1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,ii-iii-E.4,b1 + e1`5 ; b`1 + e25`1`2 ; b2`2 + e35`3`5,no,ii-iii-B,"ii-iii-B, ii-iii-E.5",no,"left: 3->5, 4->6, 5->3, 6->4 ; y<->w on 12  |  right: 3->5, 4->6, 5->3, 6->4 ; y<->w on 12","= ii-iii-B.  E2/E3 permutation -- holomorphic and anti-holomorphic indices both: 3->5, 4->6, 5->3, 6->4 ; y<->w on 12.  E1 change of basis (E = 1+S+Sb) -- B2b2 -> B1 + B1b + B2b2 (B1, B1b unchanged)"
1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,ii-iii-E.5,b1 + e1`6 ; b`1 + e26`1`2 ; b2`2 + e35`3`5,no,ii-iii-B,"ii-iii-B, ii-iii-E.4",no,"left: 3->6, 4->5, 5->4, 6->3  |  right: 3->6, 4->5, 5->4, 6->3","= ii-iii-B.  E2/E3 permutation -- holomorphic and anti-holomorphic indices both: 3->6, 4->5, 5->4, 6->3.  E1 change of basis (E = 1+S+Sb) -- B2b2 -> B1 + B1b + B2b2 + E (B1, B1b unchanged)"
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,iii-i-E,b1 + e12`1`2 ; b`1 ; b2`2 + e35`3`5,yes,iii-i-E,,yes,,unique -- no other configuration in the list is equivalent to it
1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,iii-ii-E.1,b1 + e12`1`2 ; b`1 + e1`1 ; b2`2 + e35`3`5,yes,iii-ii-E.1,,yes,,unique -- no other configuration in the list is equivalent to it
1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,iii-iii-E.1,b1 + e12`1`2 ; b`1 + e12`1`2 ; b2`2 + e35`3`5,yes,iii-iii-E.1,,yes,,unique -- no other configuration in the list is equivalent to it
1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,iii-ii-E.4,b1 + e12`2`5 ; b`1 + e5`1 ; b2`2 + e35`3`5,no,iii-ii-B,"iii-ii-B, iii-ii-E.5",no,"left: 3->5, 4->6, 5->3, 6->4 ; y<->w on 12  |  right: 3->5, 4->6, 5->3, 6->4 ; y<->w on 12","= iii-ii-B.  E2/E3 permutation -- holomorphic and anti-holomorphic indices both: 3->5, 4->6, 5->3, 6->4 ; y<->w on 12.  E1 change of basis (E = 1+S+Sb) -- B2b2 -> B1 + B1b + B2b2 (B1, B1b unchanged)"
1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,iii-ii-E.5,b1 + e12`2`6 ; b`1 + e6`1 ; b2`2 + e35`3`5,no,iii-ii-B,"iii-ii-B, iii-ii-E.4",no,"left: 3->6, 4->5, 5->4, 6->3  |  right: 3->6, 4->5, 5->4, 6->3","= iii-ii-B.  E2/E3 permutation -- holomorphic and anti-holomorphic indices both: 3->6, 4->5, 5->4, 6->3.  E1 change of basis (E = 1+S+Sb) -- B2b2 -> B1 + B1b + B2b2 + E (B1, B1b unchanged)"
1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,iii-iii-E.2,b1 + e12`1`5 ; b`1 + e15`1`2 ; b2`2 + e35`3`5,no,iii-iii-B.1,"iii-iii-B.1, iii-iii-E.3",no,"left: 3->5, 4->6, 5->3, 6->4 ; y<->w on 2  |  right: 3->5, 4->6, 5->3, 6->4 ; y<->w on 2","= iii-iii-B.1.  E2/E3 permutation -- holomorphic and anti-holomorphic indices both: 3->5, 4->6, 5->3, 6->4 ; y<->w on 2.  E1 change of basis (E = 1+S+Sb) -- B2b2 -> B1 + B1b + B2b2 (B1, B1b unchanged)"
1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,iii-iii-E.3,b1 + e12`1`6 ; b`1 + e16`1`2 ; b2`2 + e35`3`5,no,iii-iii-B.1,"iii-iii-B.1, iii-iii-E.2",no,"left: 3->6, 4->5, 5->4, 6->3 ; y<->w on 1  |  right: 3->6, 4->5, 5->4, 6->3 ; y<->w on 1","= iii-iii-B.1.  E2/E3 permutation -- holomorphic and anti-holomorphic indices both: 3->6, 4->5, 5->4, 6->3 ; y<->w on 1.  E1 change of basis (E = 1+S+Sb) -- B2b2 -> B1 + B1b + B2b2 + E (B1, B1b unchanged)"
1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,iii-ii-E.2,b1 + e12`3`4 ; b`1 + e1`1 ; b2`2 + e35`3`5,no,iii-ii-E.2,iii-ii-E.3,yes,,class representative; equivalent model(s) in this list: iii-ii-E.3
1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,iii-iii-E.4,b1 + e12`3`4 ; b`1 + e34`1`2 ; b2`2 + e35`3`5,no,iii-iii-E.4,"iii-iii-E.5, iii-iii-E.6, iii-iii-E.7",yes,,"class representative; equivalent model(s) in this list: iii-iii-E.5, iii-iii-E.6, iii-iii-E.7"
1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,iii-iii-E.5,b1 + e12`3`4 ; b`1 + e56`1`2 ; b2`2 + e35`3`5,no,iii-iii-E.4,"iii-iii-E.4, iii-iii-E.6, iii-iii-E.7",no,"left: 3->5, 4->6, 5->3, 6->4 ; y<->w on 12  |  right: 3->4, 4->3","= iii-iii-E.4.  E2/E3 permutation -- holomorphic: 3->5, 4->6, 5->3, 6->4 ; y<->w on 12; anti-holomorphic: 3->4, 4->3.  E1 change of basis (E = 1+S+Sb) -- B2b2 -> B1 + B2b2 (B1, B1b unchanged)"
1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,iii-ii-E.3,b1 + e12`5`6 ; b`1 + e1`1 ; b2`2 + e35`3`5,no,iii-ii-E.2,iii-ii-E.2,no,"left: identity ; y<->w on 1  |  right: 3->5, 4->6, 5->3, 6->4 ; y<->w on 1","= iii-ii-E.2.  E2/E3 permutation -- holomorphic: identity ; y<->w on 1; anti-holomorphic: 3->5, 4->6, 5->3, 6->4 ; y<->w on 1.  E1 change of basis (E = 1+S+Sb) -- B2b2 -> B1b + B2b2 (B1, B1b unchanged)"
1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,iii-iii-E.6,b1 + e12`5`6 ; b`1 + e34`1`2 ; b2`2 + e35`3`5,no,iii-iii-E.4,"iii-iii-E.4, iii-iii-E.5, iii-iii-E.7",no,"left: 5->6, 6->5 ; y<->w on 12  |  right: 3->6, 4->5, 5->4, 6->3","= iii-iii-E.4.  E2/E3 permutation -- holomorphic: 5->6, 6->5 ; y<->w on 12; anti-holomorphic: 3->6, 4->5, 5->4, 6->3.  E1 change of basis (E = 1+S+Sb) -- B2b2 -> B1b + B2b2 + E (B1, B1b unchanged)"
1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,iii-iii-E.7,b1 + e12`5`6 ; b`1 + e56`1`2 ; b2`2 + e35`3`5,no,iii-iii-E.4,"iii-iii-E.4, iii-iii-E.5, iii-iii-E.6",no,"left: 3->5, 4->6, 5->4, 6->3 ; y<->w on 12  |  right: 3->5, 4->6, 5->4, 6->3 ; y<->w on 12","= iii-iii-E.4.  E2/E3 permutation -- holomorphic and anti-holomorphic indices both: 3->5, 4->6, 5->4, 6->3 ; y<->w on 12.  E1 change of basis (E = 1+S+Sb) -- B2b2 -> B1 + B1b + B2b2 (B1, B1b unchanged)"
