n12,m3456,k12,N,M,K,Class
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 1)","(0, 1, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 1)","(1, 0, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 1)","(1, 0, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 1)","(0, 1, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 1)","(0, 1, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 1)","(1, 0, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 1)","(1, 0, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 0)","(0, 1, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 0)","(0, 1, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 0)","(1, 0, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 0)","(1, 0, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 0)","(0, 1, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 0)","(0, 1, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 0)","(1, 0, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 0)","(1, 0, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 1, 0, 0)","(0, 1, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 1, 0, 0)","(0, 1, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 1, 0, 0)","(1, 0, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 1, 0, 0)","(1, 0, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 1, 0, 0)","(0, 1, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 1, 0, 0)","(0, 1, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 1, 0, 0)","(1, 0, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 1, 0, 0)","(1, 0, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 1, 0, 0, 0)","(0, 1, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 1, 0, 0, 0)","(0, 1, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 1, 0, 0, 0)","(1, 0, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 1, 0, 0, 0)","(1, 0, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 1, 0, 0, 0)","(0, 1, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 1, 0, 0, 0)","(0, 1, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 1, 0, 0, 0)","(1, 0, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 1, 0, 0, 0)","(1, 0, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 0, 1)","(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",II-i
"(0, 0)","(0, 1, 0, 1)","(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 1, 1, 1, 1)",II-iii
"(0, 0)","(0, 1, 0, 1)","(1, 1)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 0, 0, 0)","(1, 1, 0, 0, 0, 0)",II-iii
"(0, 0)","(0, 1, 0, 1)","(1, 1)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 0, 0, 0)","(1, 1, 1, 1, 1, 1)",II-i
"(0, 0)","(0, 1, 0, 1)","(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 1, 1, 1, 1)","(0, 0, 0, 0, 0, 0)",II-i
"(0, 0)","(0, 1, 0, 1)","(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 1, 1, 1, 1)","(0, 0, 1, 1, 1, 1)",II-iii
"(0, 0)","(0, 1, 0, 1)","(1, 1)","(0, 0, 0, 0, 0, 0)","(0, 1, 1, 1, 1, 1)","(1, 1, 0, 0, 0, 0)",II-iii
"(0, 0)","(0, 1, 0, 1)","(1, 1)","(0, 0, 0, 0, 0, 0)","(0, 1, 1, 1, 1, 1)","(1, 1, 1, 1, 1, 1)",II-i
"(0, 0)","(0, 1, 0, 1)","(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",II-i
"(0, 0)","(0, 1, 0, 1)","(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 0, 0, 0, 0)","(0, 0, 1, 1, 1, 1)",II-iii
"(0, 0)","(0, 1, 0, 1)","(1, 1)","(0, 0, 0, 0, 0, 0)","(1, 0, 0, 0, 0, 0)","(1, 1, 0, 0, 0, 0)",II-iii
"(0, 0)","(0, 1, 0, 1)","(1, 1)","(0, 0, 0, 0, 0, 0)","(1, 0, 0, 0, 0, 0)","(1, 1, 1, 1, 1, 1)",II-i
"(0, 0)","(0, 1, 0, 1)","(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 1, 1, 1)","(0, 0, 0, 0, 0, 0)",II-i
"(0, 0)","(0, 1, 0, 1)","(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 1, 1, 1)","(0, 0, 1, 1, 1, 1)",II-iii
"(0, 0)","(0, 1, 0, 1)","(1, 1)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 1, 1, 1)","(1, 1, 0, 0, 0, 0)",II-iii
"(0, 0)","(0, 1, 0, 1)","(1, 1)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 1, 1, 1)","(1, 1, 1, 1, 1, 1)",II-i
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(0, 0, 0, 0, 0, 0)","(1, 1, 0, 1, 1, 1)","(0, 1, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(0, 0, 0, 0, 0, 0)","(1, 1, 0, 1, 1, 1)","(0, 1, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(0, 0, 0, 0, 0, 0)","(1, 1, 0, 1, 1, 1)","(1, 0, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(0, 0, 0, 0, 0, 0)","(1, 1, 0, 1, 1, 1)","(1, 0, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 0, 1, 1, 1)","(0, 1, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 0, 1, 1, 1)","(0, 1, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 0, 1, 1, 1)","(1, 0, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 0, 1, 1, 1)","(1, 0, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 0, 1, 1)","(0, 1, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 0, 1, 1)","(0, 1, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 0, 1, 1)","(1, 0, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 0, 1, 1)","(1, 0, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 0, 1, 1)","(0, 1, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 0, 1, 1)","(0, 1, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 0, 1, 1)","(1, 0, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 0, 1, 1)","(1, 0, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1, 0, 1)","(0, 1, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1, 0, 1)","(0, 1, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1, 0, 1)","(1, 0, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1, 0, 1)","(1, 0, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1, 0, 1)","(0, 1, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1, 0, 1)","(0, 1, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1, 0, 1)","(1, 0, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1, 0, 1)","(1, 0, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1, 1, 0)","(0, 1, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1, 1, 0)","(0, 1, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1, 1, 0)","(1, 0, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1, 1, 0)","(1, 0, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1, 1, 0)","(0, 1, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1, 1, 0)","(0, 1, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1, 1, 0)","(1, 0, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1, 1, 0)","(1, 0, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 1, 0)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 1)","(0, 1, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 1, 0)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 1)","(0, 1, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 1, 0)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 1)","(1, 0, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 1, 0)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 1)","(1, 0, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 1, 0)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 1)","(0, 1, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 1, 0)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 1)","(0, 1, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 1, 0)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 1)","(1, 0, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 1, 0)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 1)","(1, 0, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 1, 0)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 0)","(0, 1, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 1, 0)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 0)","(0, 1, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 1, 0)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 0)","(1, 0, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 1, 0)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 0)","(1, 0, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 1, 0)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 0)","(0, 1, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 1, 0)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 0)","(0, 1, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 1, 0)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 0)","(1, 0, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 1, 0)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 0)","(1, 0, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 1, 0)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 1, 0, 0)","(0, 1, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 1, 0)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 1, 0, 0)","(0, 1, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 1, 0)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 1, 0, 0)","(1, 0, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 1, 0)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 1, 0, 0)","(1, 0, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 1, 0)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 1, 0, 0)","(0, 1, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 1, 0)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 1, 0, 0)","(0, 1, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 1, 0)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 1, 0, 0)","(1, 0, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 1, 0)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 1, 0, 0)","(1, 0, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 1, 0)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 1, 0, 0, 0)","(0, 1, 0, 0, 0, 0)",II-ii
"(0, 0)","(0, 1, 1, 0)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 1, 0, 0, 0)","(0, 1, 1, 1, 1, 1)",II-ii
"(0, 0)","(0, 1, 1, 0)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 1, 0, 0, 0)","(1, 0, 0, 0, 0, 0)",II-ii
