stefan_index,n12,m3456,k12,l3456,N,M,K,L,modular_invariant,failed_constraints,equivalent_to_code_solution
11,"(1, 0)","(1, 0, 1, 1)","(1, 0)","(1, 0, 1, 1)","(0, 0, 0, 0, 1, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 1, 0, 0)","(0, 0, 0, 0, 1, 0)",True,,27
12,"(1, 0)","(1, 0, 1, 1)","(1, 0)","(1, 0, 1, 1)","(0, 0, 0, 0, 1, 0)","(0, 0, 0, 1, 0, 0)","(0, 0, 0, 0, 1, 0)","(0, 0, 0, 1, 0, 0)",True,,20
13,"(1, 0)","(1, 0, 1, 1)","(1, 0)","(1, 0, 1, 1)","(0, 0, 0, 0, 1, 0)","(0, 0, 0, 0, 0, 1)","(0, 0, 0, 0, 1, 0)","(0, 0, 0, 0, 0, 1)",True,,6
14,"(1, 0)","(1, 0, 1, 1)","(1, 1)","(1, 1, 1, 1)","(1, 0, 0, 0, 0, 0)","(0, 0, 1, 0, 0, 0)","(0, 0, 0, 1, 1, 0)","(0, 1, 0, 0, 1, 0)",True,,34
15,"(1, 1)","(1, 1, 1, 1)","(1, 0)","(1, 0, 1, 1)","(0, 0, 0, 1, 1, 0)","(0, 1, 0, 0, 1, 0)","(1, 0, 0, 0, 0, 0)","(0, 0, 1, 0, 0, 0)",True,,15
16,"(1, 0)","(1, 0, 1, 1)","(1, 1)","(1, 1, 1, 1)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 0)","(0, 0, 0, 1, 1, 0)","(0, 1, 0, 1, 0, 0)",True,,8
17,"(1, 1)","(1, 1, 1, 1)","(1, 0)","(1, 0, 1, 1)","(0, 0, 0, 1, 1, 0)","(0, 1, 0, 1, 0, 0)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 0)",True,,14
18,"(1, 0)","(1, 0, 1, 1)","(1, 1)","(1, 1, 1, 1)","(0, 0, 1, 0, 0, 0)","(1, 0, 0, 0, 0, 0)","(0, 1, 0, 0, 1, 0)","(0, 0, 0, 1, 1, 0)",True,,22
19,"(1, 1)","(1, 1, 1, 1)","(1, 0)","(1, 0, 1, 1)","(0, 1, 0, 0, 1, 0)","(0, 0, 0, 1, 1, 0)","(0, 0, 1, 0, 0, 0)","(1, 0, 0, 0, 0, 0)",True,,43
20,"(1, 0)","(1, 0, 1, 1)","(1, 1)","(1, 1, 1, 1)","(0, 0, 1, 0, 0, 0)","(0, 0, 0, 0, 1, 0)","(0, 1, 0, 1, 0, 0)","(0, 0, 0, 1, 1, 0)",True,,11
21,"(1, 1)","(1, 1, 1, 1)","(1, 0)","(1, 0, 1, 1)","(0, 1, 0, 1, 0, 0)","(0, 0, 0, 1, 1, 0)","(0, 0, 1, 0, 0, 0)","(0, 0, 0, 0, 1, 0)",True,,36
22,"(1, 0)","(1, 0, 1, 1)","(1, 1)","(1, 1, 1, 1)","(0, 0, 0, 0, 1, 0)","(1, 0, 0, 0, 0, 0)","(0, 1, 0, 0, 1, 0)","(0, 1, 0, 1, 0, 0)",True,,21
23,"(1, 1)","(1, 1, 1, 1)","(1, 0)","(1, 0, 1, 1)","(0, 1, 0, 0, 1, 0)","(0, 1, 0, 1, 0, 0)","(0, 0, 0, 0, 1, 0)","(1, 0, 0, 0, 0, 0)",True,,18
24,"(1, 0)","(1, 0, 1, 1)","(1, 1)","(1, 1, 1, 1)","(0, 0, 0, 0, 1, 0)","(0, 0, 1, 0, 0, 0)","(0, 1, 0, 1, 0, 0)","(0, 1, 0, 0, 1, 0)",True,,35
25,"(1, 1)","(1, 1, 1, 1)","(1, 0)","(1, 0, 1, 1)","(0, 1, 0, 1, 0, 0)","(0, 1, 0, 0, 1, 0)","(0, 0, 0, 0, 1, 0)","(0, 0, 1, 0, 0, 0)",True,,17
26,"(1, 1)","(1, 1, 1, 1)","(1, 1)","(1, 1, 1, 1)","(1, 0, 1, 0, 0, 0)","(1, 0, 0, 0, 1, 0)","(1, 0, 1, 0, 0, 0)","(1, 0, 0, 0, 1, 0)",True,,48
27,"(1, 1)","(1, 1, 1, 1)","(1, 1)","(1, 1, 1, 1)","(1, 0, 1, 0, 0, 0)","(0, 0, 1, 0, 1, 0)","(1, 0, 0, 0, 1, 0)","(1, 0, 1, 0, 0, 0)",True,,32
28,"(1, 1)","(1, 1, 1, 1)","(1, 1)","(1, 1, 1, 1)","(1, 0, 0, 0, 1, 0)","(1, 0, 1, 0, 0, 0)","(1, 0, 1, 0, 0, 0)","(0, 0, 1, 0, 1, 0)",True,,54
