code_solution_index,n12,m3456,k12,l3456,N,M,K,L,mapped_stefan_index
11,"(1, 0)","(1, 0, 1, 1)","(1, 1)","(1, 1, 1, 1)","(0, 0, 1, 0, 0, 0)","(0, 0, 0, 0, 1, 0)","(0, 1, 0, 1, 0, 0)","(0, 0, 0, 1, 0, 1)",20
12,"(1, 1)","(1, 1, 0, 0)","(0, 0)","(1, 1, 1, 1)","(1, 1, 0, 0, 0, 0)","(1, 1, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 1)",UNMATCHED
13,"(0, 0)","(1, 1, 1, 1)","(0, 0)","(1, 1, 1, 1)","(0, 0, 0, 0, 0, 0)","(1, 1, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 0, 0, 0, 0)",5
14,"(1, 1)","(1, 1, 1, 1)","(1, 0)","(1, 0, 1, 1)","(0, 0, 0, 1, 0, 1)","(0, 1, 0, 1, 0, 0)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 1)",17
15,"(1, 1)","(1, 1, 1, 1)","(1, 0)","(1, 0, 1, 1)","(0, 0, 0, 1, 1, 0)","(0, 1, 0, 0, 1, 0)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 1, 0, 0)",15
16,"(0, 0)","(1, 1, 1, 1)","(1, 0)","(1, 0, 1, 1)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 1, 0, 0)","(1, 0, 0, 0, 0, 0)","(0, 1, 0, 0, 0, 0)",6
17,"(1, 1)","(1, 1, 1, 1)","(1, 0)","(1, 0, 1, 1)","(0, 1, 0, 1, 0, 0)","(0, 1, 0, 0, 0, 1)","(0, 0, 0, 0, 0, 1)","(0, 0, 1, 0, 0, 0)",25
18,"(1, 1)","(1, 1, 1, 1)","(1, 0)","(1, 0, 1, 1)","(0, 1, 0, 0, 0, 1)","(0, 1, 0, 1, 0, 0)","(0, 0, 0, 0, 0, 1)","(0, 1, 0, 0, 0, 0)",23
19,"(1, 1)","(1, 1, 0, 0)","(1, 0)","(1, 0, 1, 1)","(0, 1, 0, 1, 0, 0)","(0, 1, 0, 1, 0, 0)","(0, 0, 0, 0, 0, 1)","(0, 0, 0, 0, 1, 0)",UNMATCHED
20,"(1, 0)","(1, 0, 1, 1)","(1, 0)","(1, 0, 1, 1)","(0, 0, 0, 0, 0, 1)","(0, 0, 0, 1, 0, 0)","(0, 0, 0, 0, 1, 0)","(0, 0, 0, 1, 0, 0)",12
21,"(1, 0)","(1, 0, 1, 1)","(1, 1)","(1, 1, 1, 1)","(0, 0, 0, 0, 0, 1)","(0, 1, 0, 0, 0, 0)","(0, 1, 0, 0, 1, 0)","(0, 1, 0, 1, 0, 0)",22
22,"(1, 0)","(1, 0, 1, 1)","(1, 1)","(1, 1, 1, 1)","(0, 0, 0, 1, 0, 0)","(0, 1, 0, 0, 0, 0)","(0, 1, 0, 0, 0, 1)","(0, 0, 0, 1, 0, 1)",18
