n12,m3456,k12,N,M,K,PaperLabel,TwistBasis,Unique,IsRepresentative,ClassRepresentative,EquivalentTo,RelabellingToRepresentative,EquivalenceNotes
"(1, 0)","(1, 0, 1, 1)","(1, 1)","(0, 0, 1, 0, 0, 0)","(0, 1, 0, 0, 0, 0)","(0, 1, 0, 0, 1, 0)",row20,b1 + e1`3 ; b2 + e356`2 ; b`1 + e25`1`2,no,no,IV-iii.2,"IV-iii.2, row18, IV-iii.3","left: 1->3, 2->4, 3->1, 4->2 ; y<->w on 56  |  right: 1->2, 2->1","= IV-iii.2.  E2/E3 permutation -- holomorphic: 1->3, 2->4, 3->1, 4->2 ; y<->w on 56; anti-holomorphic: 1->2, 2->1.  E1 change of basis (E = 1+S+Sb) -- B1 -> B2; B2 -> B1 (B1b unchanged)"
"(1, 0)","(1, 0, 1, 1)","(1, 1)","(0, 0, 1, 0, 0, 0)","(0, 0, 0, 1, 0, 0)","(0, 1, 0, 1, 0, 0)",IV-iii.4,b1 + e1`3 ; b2 + e356`4 ; b`1 + e24`1`2,yes,yes,IV-iii.4,,,unique -- no other configuration in the list is equivalent to it
"(1, 1)","(1, 1, 1, 1)","(1, 1)","(1, 0, 1, 0, 0, 0)","(1, 0, 0, 1, 0, 0)","(1, 0, 1, 0, 0, 0)",V-iii.3,b1 + e12`1`3 ; b2 + e3456`1`4 ; b`1 + e13`1`2,no,yes,V-iii.3,"V-iii.1, V-iii.2",,"class representative; equivalent model(s) in this list: V-iii.1, V-iii.2"
"(1, 1)","(1, 1, 1, 1)","(1, 1)","(1, 0, 1, 0, 0, 0)","(0, 0, 1, 1, 0, 0)","(1, 0, 0, 0, 1, 0)",V-iii.1,b1 + e12`1`3 ; b2 + e3456`3`4 ; b`1 + e15`1`2,no,no,V-iii.3,"V-iii.3, V-iii.2","left: 3->5, 4->6, 5->3, 6->4 ; y<->w on 12  |  right: identity","= V-iii.3.  E2/E3 permutation -- holomorphic: 3->5, 4->6, 5->3, 6->4 ; y<->w on 12; anti-holomorphic: identity.  E1 change of basis (E = 1+S+Sb) -- B2 -> B1 + B2 (B1, B1b unchanged)"
"(1, 1)","(1, 1, 1, 1)","(1, 1)","(0, 0, 1, 1, 0, 0)","(1, 0, 1, 0, 0, 0)","(0, 0, 1, 0, 1, 0)",V-iii.2,b1 + e12`3`4 ; b2 + e3456`1`3 ; b`1 + e35`1`2,no,no,V-iii.3,"V-iii.3, V-iii.1","left: 1->5, 2->6, 3->1, 4->2, 5->3, 6->4 ; y<->w on 3456  |  right: identity","= V-iii.3.  E2/E3 permutation -- holomorphic: 1->5, 2->6, 3->1, 4->2, 5->3, 6->4 ; y<->w on 3456; anti-holomorphic: identity.  E1 change of basis (E = 1+S+Sb) -- B1 -> B1 + B2; B2 -> B1 (B1b unchanged)"
"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0, 0, 0)","(0, 0, 1, 1, 0, 0)","(1, 1, 0, 0, 0, 0)",VI-iii.1,b1 + e12`1`2 ; b2 + e34`3`4 ; b`1 + e12`1`2,no,yes,VI-iii.1,"VI-iii.2, VI-iii.6",,"class representative; equivalent model(s) in this list: VI-iii.2, VI-iii.6"
"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 0, 1, 0, 0, 0)","(0, 1, 0, 1, 0, 0)","(1, 0, 1, 0, 0, 0)",VI-iii.4,b1 + e12`1`3 ; b2 + e34`2`4 ; b`1 + e13`1`2,no,yes,VI-iii.4,"VI-iii.5, VI-iii.3",,"class representative; equivalent model(s) in this list: VI-iii.5, VI-iii.3"
"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 0, 1, 0, 0, 0)","(0, 0, 0, 1, 1, 0)","(1, 0, 0, 0, 1, 0)",VI-iii.5,b1 + e12`1`3 ; b2 + e34`4`5 ; b`1 + e15`1`2,no,no,VI-iii.4,"VI-iii.4, VI-iii.3","left: 3->5, 4->6, 5->3, 6->4  |  right: 4->5, 5->6, 6->4","= VI-iii.4.  E2/E3 permutation -- holomorphic: 3->5, 4->6, 5->3, 6->4; anti-holomorphic: 4->5, 5->6, 6->4.  E1 change of basis (E = 1+S+Sb) -- B2 -> B1 + B2 + E (B1, B1b unchanged)"
"(1, 1)","(1, 1, 0, 0)","(1, 1)","(0, 0, 1, 1, 0, 0)","(1, 1, 0, 0, 0, 0)","(0, 0, 1, 1, 0, 0)",VI-iii.2,b1 + e12`3`4 ; b2 + e34`1`2 ; b`1 + e34`1`2,no,no,VI-iii.1,"VI-iii.1, VI-iii.6","left: 1->3, 2->4, 3->1, 4->2  |  right: identity","= VI-iii.1.  E2/E3 permutation -- holomorphic: 1->3, 2->4, 3->1, 4->2; anti-holomorphic: identity.  E1 change of basis (E = 1+S+Sb) -- B1 -> B2; B2 -> B1 (B1b unchanged)"
"(1, 1)","(1, 1, 0, 0)","(1, 1)","(0, 0, 1, 1, 0, 0)","(1, 0, 0, 0, 1, 0)","(0, 0, 1, 0, 1, 0)",VI-iii.3,b1 + e12`3`4 ; b2 + e34`1`5 ; b`1 + e35`1`2,no,no,VI-iii.4,"VI-iii.4, VI-iii.5","left: 1->5, 2->6, 3->1, 4->2, 5->3, 6->4  |  right: 3->5, 4->6, 5->3, 6->4","= VI-iii.4.  E2/E3 permutation -- holomorphic: 1->5, 2->6, 3->1, 4->2, 5->3, 6->4; anti-holomorphic: 3->5, 4->6, 5->3, 6->4.  E1 change of basis (E = 1+S+Sb) -- B1 -> B1 + B2 + E; B2 -> B1 (B1b unchanged)"
"(1, 1)","(1, 1, 0, 0)","(1, 1)","(0, 0, 1, 1, 0, 0)","(0, 0, 0, 0, 1, 1)","(0, 0, 0, 0, 1, 1)",VI-iii.6,b1 + e12`3`4 ; b2 + e34`5`6 ; b`1 + e56`1`2,no,no,VI-iii.1,"VI-iii.1, VI-iii.2","left: 1->3, 2->4, 3->5, 4->6, 5->1, 6->2  |  right: identity","= VI-iii.1.  E2/E3 permutation -- holomorphic: 1->3, 2->4, 3->5, 4->6, 5->1, 6->2; anti-holomorphic: identity.  E1 change of basis (E = 1+S+Sb) -- B1 -> B2; B2 -> B1 + B2 + E (B1b unchanged)"
